beta1,ReX3_knl0,ImX3_knl0,absX3_knl0,absX1_knl0,ReX3_knlON,ImX3_knlON,absX3_knlON,absX1_knlON
3.400000000000000244e-01,-3.788823337284000833e-03,-2.581221222180197280e-04,3.797605734028508453e-03,2.865414303997986245e-01,-1.245593798229675635e-03,-9.355450731738811001e-05,1.249102220007485735e-03,2.905357964689253003e-01
3.500000000000000333e-01,-3.884773697838785241e-03,-2.643475246693824388e-04,3.893757349555678100e-03,2.863834774027830266e-01,-1.362098029549996302e-03,-1.020345854527062585e-04,1.365914381918752673e-03,2.903613785067341579e-01
3.600000000000000422e-01,-3.979954394264558458e-03,-2.705118098424258389e-04,3.989136951734045637e-03,2.862261234367438067e-01,-1.477614983654894657e-03,-1.103971461529540177e-04,1.481733299146702470e-03,2.901877154674241677e-01
3.700000000000000511e-01,-4.074373693245102006e-03,-2.766161572194244188e-04,4.083752868458444436e-03,2.860693632380740259e-01,-1.592156177872162265e-03,-1.186441877316282549e-04,1.596570617924240269e-03,2.900147997562472768e-01
3.800000000000000044e-01,-4.168039738307999925e-03,-2.826617255214011726e-04,4.177613303213852623e-03,2.859131916174396659e-01,-1.705732940533563526e-03,-1.267776682631228805e-04,1.710437792377001885e-03,2.898426239003143445e-01
3.900000000000000133e-01,-4.260960552185596995e-03,-2.886496532008799758e-04,4.270726337471739652e-03,2.857576034583341196e-01,-1.818356414969526328e-03,-1.347995066026939936e-04,1.823346088607743750e-03,2.896711805459221689e-01
4.000000000000000222e-01,-4.353144039120406331e-03,-2.945810589210685220e-04,4.363099933029792807e-03,2.856025937156672634e-01,-1.930037563398420914e-03,-1.427115833761022638e-04,1.935306588672354921e-03,2.895004624559526230e-01
4.100000000000000311e-01,-4.444597987115960804e-03,-3.004570420222295139e-04,4.454741934296082249e-03,2.854481574143893918e-01,-2.040787170713852846e-03,-1.505157419399042807e-04,2.046330194451025444e-03,2.893304625073438996e-01
4.200000000000000400e-01,-4.535330070135117075e-03,-3.062786829752917159e-04,4.545660070519669076e-03,2.852942896481482915e-01,-2.150615848173010377e-03,-1.582137893133471430e-04,2.156427631417712210e-03,2.891611736886294803e-01
4.300000000000000488e-01,-4.625347850247206981e-03,-3.120470438233433129e-04,4.635861957969126569e-03,2.851409855779787894e-01,-2.259534036989439831e-03,-1.658074970830288118e-04,2.265609452311393660e-03,2.889925890975438283e-01
4.400000000000000022e-01,-4.714658779725235810e-03,-3.177631686113134286e-04,4.725355102060177677e-03,2.849882404310236095e-01,-2.367552011833008296e-03,-1.732986022810237259e-04,2.373886040711955039e-03,2.888247019386926961e-01
4.500000000000000111e-01,-4.803270203094819717e-03,-3.234280838041142091e-04,4.814146899434182565e-03,2.848360494992850378e-01,-2.474679884239987249e-03,-1.806888082375962914e-04,2.481267614523745800e-03,2.886575055212848295e-01
