omega,beta1,kappa,abs_X3,abs_X1,is_fold
9.407752422376397528e-01,2.873240917445712417e-01,2.034837158936194657e-01,9.674084311943836801e-26,9.530886537553548976e-01,0.000000000000000000e+00
9.356961208928952223e-01,2.874346829839867778e-01,1.981352911178446974e-01,1.528912824450444729e-25,9.401310150267246923e-01,0.000000000000000000e+00
9.305576425049292277e-01,2.875441489320804123e-01,1.928571112428814627e-01,1.685518583586950323e-26,9.271643004019853862e-01,0.000000000000000000e+00
9.253567080514314425e-01,2.876523398254767216e-01,1.876501033618033776e-01,1.199683416703547884e-25,9.141901104239926745e-01,0.000000000000000000e+00
9.200900368960075459e-01,2.877590939473965159e-01,1.825152191091842790e-01,5.985504757915491603e-26,9.012101661887066406e-01,0.000000000000000000e+00
9.147541571384655290e-01,2.878642365104501222e-01,1.774534366608964131e-01,4.381649192827793662e-26,8.882263197733903937e-01,0.000000000000000000e+00
9.093453957801034271e-01,2.879675784131812133e-01,1.724657629412008064e-01,1.609206596511888360e-25,8.752405656389263822e-01,0.000000000000000000e+00
9.038598687892676065e-01,2.880689148544561262e-01,1.675532360577987878e-01,1.791945071394157188e-26,8.622550530847342687e-01,0.000000000000000000e+00
8.982934711776108250e-01,2.881680237877282114e-01,1.627169279872026919e-01,9.936224625519390201e-26,8.492720998353325834e-01,0.000000000000000000e+00
8.926418672277206534e-01,2.882646641949554445e-01,1.579579475344990713e-01,8.454915438682041293e-26,8.362942068359334735e-01,0.000000000000000000e+00
8.869004810488362311e-01,2.883585741574781203e-01,1.532774435932819923e-01,2.215889724008470725e-25,8.233240743297451925e-01,0.000000000000000000e+00
8.810644876800661773e-01,2.884494686983768985e-01,1.486766087332545561e-01,9.375875283175032472e-26,8.103646192808117155e-01,0.000000000000000000e+00
8.751288050105726635e-01,2.885370373679226885e-01,1.441566831446078611e-01,5.578669018051239039e-26,7.974189941919711533e-01,0.000000000000000000e+00
8.690880868443631169e-01,2.886209415406285617e-01,1.397189589697919454e-01,1.114156121468276231e-25,7.844906073462259988e-01,0.000000000000000000e+00
8.629367175041768867e-01,2.887008113890304206e-01,1.353647850547357034e-01,2.566675734355524077e-25,7.715831444695171459e-01,0.000000000000000000e+00
8.566688084447056095e-01,2.887762424961767271e-01,1.310955721527106155e-01,7.836424730694253515e-26,7.587005917713515180e-01,0.000000000000000000e+00
8.502781974299445933e-01,2.888467920655249377e-01,1.269127986151165899e-01,5.519782168291452870e-26,7.458472602641519345e-01,0.000000000000000000e+00
