force,omega,beta1,abs_X1,abs_X3
3.101138949403297596e-01,2.601331505575181779e-01,2.391457328673340377e-01,3.022720519019069241e-01,3.656285602700407799e-23
3.155817205307701045e-01,2.603498889490299950e-01,2.397055894445326851e-01,3.076330796861702077e-01,3.438026942048771198e-23
3.226964685154417589e-01,2.606331886733042058e-01,2.404588816704415766e-01,3.146100824198767021e-01,2.425074347822544877e-27
3.298087990638755018e-01,2.609207309675520281e-01,2.412399763177207057e-01,3.215864909503039493e-01,3.630641498253459109e-27
3.369183741375112451e-01,2.612152651754687804e-01,2.420490170890968740e-01,3.285623753880583253e-01,9.209361803695965779e-27
3.440248476799212529e-01,2.615193222265552730e-01,2.428862979602370575e-01,3.355377920948226511e-01,1.201790842681369215e-27
3.511278528285989853e-01,2.618353443625151544e-01,2.437522351397093112e-01,3.425127897759380202e-01,5.239575281703455841e-27
3.582269904510724245e-01,2.621657838900333104e-01,2.446473502964369440e-01,3.494874141183613725e-01,7.112319456874978582e-27
3.653218175382826893e-01,2.625131866367867994e-01,2.455722612485902456e-01,3.564617116516972661e-01,7.052185151687540095e-27
3.724118343355514171e-01,2.628802701655096330e-01,2.465276778561221738e-01,3.634357332602942137e-01,1.244903556612062869e-26
3.794964691327910589e-01,2.632700042648117300e-01,2.475144018867604101e-01,3.704095376330281408e-01,2.037741031363244163e-26
3.865750594735982704e-01,2.636857004177907138e-01,2.485333302469762695e-01,3.773831948555106952e-01,2.635239853387054584e-26
3.936468281789070045e-01,2.641311173403946833e-01,2.495854613910964970e-01,3.843567902930022373e-01,1.219787479889706766e-26
4.007108519570825589e-01,2.646105911898831708e-01,2.506719050550977879e-01,3.913304288558908661e-01,3.313899302620818848e-26
4.077660193609991546e-01,2.651292018894026992e-01,2.517938957771221897e-01,3.983042396540164010e-01,4.928509011709405598e-26
4.148109732169806274e-01,2.656929917615028502e-01,2.529528110196701540e-01,4.052783808836921686e-01,2.903170975007266154e-26
4.218440299583768871e-01,2.663092603964358207e-01,2.541501951544645199e-01,4.122530444605620459e-01,1.166145288068208276e-25
4.288630637445933758e-01,2.669869723876892031e-01,2.553877911782114762e-01,4.192284592230779983e-01,5.221640185802755060e-26
4.358653352869224507e-01,2.677373359413804943e-01,2.566675828859996678e-01,4.262048900761877812e-01,1.217723961827912343e-25
4.428472308242276667e-01,2.685746474892858893e-01,2.579918514542456354e-01,4.331826273003272498e-01,4.044856389798603177e-26
4.498038491160356589e-01,2.695175644705122830e-01,2.593632520887824700e-01,4.401619532387285871e-01,4.769734469009913868e-26
4.567283189002150912e-01,2.705910951726482327e-01,2.607849185248754531e-01,4.471430572615762156e-01,1.038538368408815286e-25
4.636106105928425314e-01,2.718298472792332610e-01,2.622606048405402013e-01,4.541258298026151219e-01,4.824661742534118865e-25
4.704353319378083986e-01,2.732836135187152737e-01,2.637948708333768821e-01,4.611093605498087222e-01,3.552436391873864189e-26
4.771773037218721147e-01,2.750275990946891014e-01,2.653932897144609115e-01,4.680906614305676561e-01,6.647433813067892213e-25
4.837917488121930565e-01,2.771826403728467891e-01,2.670625181040313656e-01,4.750611541629399803e-01,3.578328782906066425e-24
4.901895624693933251e-01,2.799589924284022757e-01,2.688093874671946271e-01,4.819958185863680300e-01,8.089832380047471218e-25
4.961640453222628255e-01,2.837602007494655632e-01,2.706344696776702974e-01,4.888137997115848399e-01,1.000405625158241814e-28
5.011367306655022391e-01,2.894192732189378447e-01,2.724924319797669692e-01,4.952067906922414386e-01,4.442138603232908274e-27
5.034983041625561428e-01,2.980674877315556692e-01,2.740879385715163652e-01,4.999837627524630901e-01,8.998334528262926412e-27
5.021412141696924847e-01,3.080187054483941589e-01,2.748733112857830729e-01,5.016311108947985042e-01,7.496050942990971072e-26
4.988192359483960003e-01,3.174507903815026455e-01,2.750490032617419200e-01,5.013018674936093877e-01,1.000571046399447707e-26
4.946712966793523347e-01,3.264229013308040939e-01,2.749173566078537134e-01,5.000994143803789704e-01,1.243681029328969335e-27
4.901283091896879718e-01,3.351036390413546506e-01,2.746148974967219658e-01,4.984854441079421550e-01,0.000000000000000000e+00
4.853826449679742860e-01,3.435970729738204166e-01,2.742075016017282985e-01,4.966777164669533562e-01,0.000000000000000000e+00
4.805395583854108477e-01,3.519569213086311543e-01,2.737319220772003736e-01,4.947985874373759807e-01,0.000000000000000000e+00
4.756713809246496116e-01,3.601942146056992811e-01,2.732124071399383292e-01,4.929289941868807978e-01,0.000000000000000000e+00
4.708444157725766854e-01,3.682667332185877163e-01,2.726690928415096971e-01,4.911305563609261182e-01,2.380065760163377031e-27
4.661415469723311777e-01,3.760453394165296781e-01,2.721241677439867335e-01,4.894545003300933561e-01,3.291455465220608596e-26
4.616860423432626592e-01,3.832658789723673576e-01,2.716071356553853566e-01,4.879415012269888163e-01,2.109707083824360792e-25
4.576383592016243784e-01,3.895502349976525114e-01,2.711535870677389548e-01,4.866101286069033360e-01,2.083977857098241974e-26
4.541114964885286653e-01,3.946245870835877190e-01,2.707886077419917048e-01,4.854395802429842255e-01,3.752827880502392039e-26
